session_id,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,duration,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,waf_risk,behavior_risk,compliance_score,attack_stage,label
SESS_001,192.168.1.234,172.16.0.21,64219,443,6,2026-08-28 10:00:00,33.578,248,118,159960,134284,8763.0,10.9,1.388,0.6645,0,0,0,0,0.06,0.15,0.44,BENIGN,BENIGN
SESS_001,192.168.1.23,172.16.0.24,35863,8080,6,2026-08-28 10:00:03,59.9067,67,9,26264,9846,602.77,1.27,1.9147,0.6797,0,0,0,0,0.1,0.14,0.41,BENIGN,BENIGN
SESS_001,192.168.1.234,172.16.0.15,50763,443,6,2026-08-28 10:00:06,93.9255,388,245,161408,50715,2258.42,6.74,0.4806,0.2072,0,1,0,0,0.2,0.03,0.81,BENIGN,BENIGN
SESS_001,192.168.1.61,172.16.0.16,50631,22,6,2026-08-28 10:00:15,28.9117,7,140,7784,116900,4312.58,5.08,0.5749,0.2699,1,0,0,0,0.16,0.05,0.7,BENIGN,BENIGN
SESS_001,192.168.1.71,172.16.0.39,41221,80,6,2026-08-28 10:00:16,102.3877,136,354,130968,298068,4190.31,4.79,0.2392,0.1094,1,0,0,0,0.08,0.08,0.71,BENIGN,BENIGN
SESS_001,192.168.1.21,172.16.0.24,64510,443,6,2026-08-28 10:00:05,5.5288,51,258,38658,30960,12591.88,55.89,0.0916,0.95,0,0,0,0,0.15,0.09,0.71,BENIGN,BENIGN
SESS_001,192.168.1.147,172.16.0.44,22225,22,6,2026-08-28 10:00:12,23.9871,220,252,136620,147924,11862.38,19.68,0.2996,0.9509,0,1,0,0,0.18,0.0,0.61,BENIGN,BENIGN
SESS_001,192.168.1.78,172.16.0.10,54692,445,6,2026-08-28 10:00:28,2.0615,362,204,300460,140352,213830.71,274.56,1.6362,0.5549,0,0,0,0,0.19,0.15,0.8,BENIGN,BENIGN
SESS_001,192.168.1.244,172.16.0.5,60818,8080,6,2026-08-28 10:00:32,113.6622,235,28,281295,15456,2610.82,2.31,0.2152,0.8966,0,0,1,0,0.01,0.1,0.7,BENIGN,BENIGN
SESS_001,10.0.4.34,172.16.0.34,8780,582,6,2026-08-28 10:00:18,44.6664,307,136,389583,161840,12345.36,9.92,0.8228,0.4424,1,0,0,1,0.05,0.21,0.76,RECON,PortScan
SESS_001,10.0.4.5,172.16.0.22,21535,875,6,2026-08-28 10:00:10,46.4681,107,156,82497,6240,1909.63,5.66,0.1842,0.8214,1,0,1,0,0.01,0.1,0.43,RECON,PortScan
SESS_001,10.0.4.45,172.16.0.25,29468,80,6,2026-08-28 10:00:33,82.2025,359,106,198527,47700,2995.37,5.66,1.9468,0.6417,0,0,0,0,0.74,0.16,0.52,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.49,172.16.0.19,10510,3389,6,2026-08-28 10:00:24,105.3623,289,122,25721,155794,1722.77,3.9,0.5929,0.8842,1,0,0,0,0.73,0.2,0.68,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.16,172.16.0.6,45146,8080,6,2026-08-28 10:00:39,6.9557,345,288,392955,280224,96780.91,91.0,0.0223,0.9974,0,0,1,0,0.14,0.63,0.79,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.42,172.16.0.10,19271,22,6,2026-08-28 10:01:10,112.6712,232,376,283504,471504,6700.98,5.4,1.1732,0.0018,1,1,0,0,0.09,0.62,0.48,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.41,172.16.0.41,19654,8080,6,2026-08-28 10:00:15,96.288,438,120,239586,147720,4022.37,5.8,0.2887,0.9619,0,1,0,0,0.02,0.14,0.83,BENIGN,BENIGN
SESS_001,10.0.4.15,172.16.0.32,30071,80,6,2026-08-28 10:00:16,31.5709,1488,248,1264800,318184,50140.6,54.99,1.979,0.5876,1,1,0,0,0.14,0.1,0.64,IMPACT,DoS GoldenEye
SESS_001,10.0.4.47,172.16.0.50,23416,756,6,2026-08-28 10:01:08,111.5979,114,267,153900,98256,2259.5,3.41,0.8682,0.967,1,0,0,1,0.05,0.03,0.54,RECON,PortScan
SESS_001,10.0.4.2,172.16.0.9,48992,3389,6,2026-08-28 10:00:36,34.469,121,102,81433,78030,4626.27,6.47,0.1908,0.6684,1,1,0,0,0.79,0.01,0.78,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.41,172.16.0.47,9102,8080,6,2026-08-28 10:01:35,71.9778,38,292,23636,230972,3537.31,4.58,0.5663,0.1488,0,1,0,0,0.83,0.1,0.73,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.47,172.16.0.13,28774,8080,6,2026-08-28 10:01:20,76.0519,456,9,661200,2655,8728.97,6.11,1.5244,0.1535,1,0,0,0,0.19,0.81,0.81,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.36,172.16.0.43,47939,80,6,2026-08-28 10:01:24,109.6166,123,306,127428,42228,1547.72,3.91,0.4542,0.708,1,0,0,0,0.05,0.84,0.48,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.109,172.16.0.47,62793,445,6,2026-08-28 10:00:44,115.2523,266,69,281960,14490,2572.18,2.91,1.0855,0.3086,0,0,0,0,0.06,0.14,0.65,BENIGN,BENIGN
SESS_001,192.168.1.65,172.16.0.50,54428,8080,6,2026-08-28 10:01:55,32.1144,148,131,87024,16375,3219.71,8.69,1.1651,0.4956,0,1,0,0,0.08,0.02,0.51,BENIGN,BENIGN
SESS_001,192.168.1.142,172.16.0.31,29248,80,6,2026-08-28 10:01:36,41.8879,349,72,442532,104256,13053.6,10.05,1.8485,0.3773,0,1,0,0,0.08,0.12,0.74,BENIGN,BENIGN
SESS_001,10.0.4.16,172.16.0.19,60044,443,6,2026-08-28 10:01:40,80.1572,233,38,210399,4484,2680.77,3.38,0.513,0.6489,1,1,0,0,0.13,0.77,0.56,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.97,172.16.0.13,59853,8080,6,2026-08-28 10:01:44,60.6834,469,224,652848,124320,12806.93,11.42,0.5265,0.0786,1,1,1,0,0.15,0.06,0.85,BENIGN,BENIGN
SESS_001,192.168.1.63,172.16.0.26,14548,8080,6,2026-08-28 10:00:27,104.9003,134,376,179426,282376,4402.29,4.86,0.4696,0.7863,1,0,0,0,0.11,0.17,0.59,BENIGN,BENIGN
SESS_001,10.0.4.16,172.16.0.43,22104,443,6,2026-08-28 10:01:24,65.8651,247,396,158821,57816,3289.1,9.76,1.9195,0.8534,0,1,1,0,0.06,0.84,0.72,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.83,172.16.0.42,38192,80,6,2026-08-28 10:01:56,86.7574,312,180,207480,165060,4294.04,5.67,1.2832,0.3533,0,1,0,0,0.03,0.05,0.72,BENIGN,BENIGN
SESS_001,10.0.4.42,172.16.0.46,14155,443,6,2026-08-28 10:01:30,41.9476,258,188,318114,232744,13132.05,10.63,1.3112,0.0184,1,1,0,0,0.01,0.83,0.83,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.155,172.16.0.44,40534,3389,6,2026-08-28 10:01:02,94.7635,402,159,533454,61374,6276.97,5.92,0.519,0.6247,0,0,0,0,0.03,0.15,0.6,BENIGN,BENIGN
SESS_001,10.0.4.1,172.16.0.27,20964,21,6,2026-08-28 10:02:40,32.541,347,295,355328,177885,16385.88,19.73,0.4467,0.313,0,0,0,0,0.13,0.76,0.77,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.45,172.16.0.34,11252,22,6,2026-08-28 10:01:39,71.3566,9443,342,2927330,415188,46842.45,137.13,0.2498,0.4977,1,1,0,0,0.01,0.23,0.45,IMPACT,DoS GoldenEye
SESS_001,192.168.1.243,172.16.0.34,27728,3389,6,2026-08-28 10:01:42,66.2723,31,91,14601,57512,1088.13,1.84,0.5508,0.4663,1,1,0,0,0.1,0.05,0.47,BENIGN,BENIGN
SESS_001,10.0.4.22,172.16.0.7,40664,567,6,2026-08-28 10:02:20,90.3144,236,52,339604,72748,4565.74,3.19,0.929,0.0537,0,0,0,0,0.11,0.18,0.75,RECON,PortScan
SESS_001,10.0.4.29,172.16.0.36,55770,22,6,2026-08-28 10:00:36,111.1674,336,9,104832,12150,1052.3,3.1,0.1805,0.7693,0,1,1,0,0.75,0.03,0.64,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.34,172.16.0.22,55045,3389,6,2026-08-28 10:00:37,63.0557,265,309,31800,432600,7364.92,9.1,0.0697,0.6539,1,0,0,0,0.07,0.8,0.6,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.44,172.16.0.45,38846,21,6,2026-08-28 10:01:54,47.3437,48,298,66192,156450,4702.67,7.31,1.7934,0.5819,1,0,0,0,0.13,0.82,0.61,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.37,172.16.0.7,54947,80,6,2026-08-28 10:01:57,114.1666,296,347,197136,146781,3012.41,5.63,1.9009,0.5607,0,0,0,0,0.08,0.87,0.62,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.25,172.16.0.22,18275,22,6,2026-08-28 10:00:40,116.0882,409,108,131698,76680,1795.0,4.45,0.7772,0.4004,1,1,0,0,0.06,0.62,0.63,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.149,172.16.0.13,44118,445,6,2026-08-28 10:02:03,24.061,381,328,72009,339480,17101.91,29.47,1.5301,0.3493,0,1,0,0,0.05,0.25,0.8,BENIGN,BENIGN
SESS_001,192.168.1.112,172.16.0.8,44719,22,6,2026-08-28 10:02:48,45.3188,321,393,14445,75849,1992.42,15.76,1.1007,0.9988,1,0,0,0,0.17,0.13,0.46,BENIGN,BENIGN
SESS_001,10.0.4.27,172.16.0.37,22521,445,6,2026-08-28 10:03:35,112.0084,311,81,17105,58158,671.94,3.5,1.1026,0.1931,1,1,0,0,0.02,0.63,0.42,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.49,172.16.0.27,16210,8080,6,2026-08-28 10:00:44,58.7011,1733,250,811044,130750,16043.89,33.78,1.0678,0.9591,1,0,1,0,0.18,0.15,0.67,IMPACT,DoS GoldenEye
SESS_001,192.168.1.222,172.16.0.13,3472,443,6,2026-08-28 10:03:45,95.186,458,127,482274,96393,6079.33,6.15,1.1092,0.6815,1,1,0,0,0.18,0.11,0.81,BENIGN,BENIGN
SESS_001,192.168.1.210,172.16.0.27,11535,8080,6,2026-08-28 10:03:04,81.9978,113,171,81247,73530,1887.58,3.46,1.1044,0.5941,1,1,0,0,0.02,0.19,0.54,BENIGN,BENIGN
SESS_001,10.0.4.12,172.16.0.13,51810,924,6,2026-08-28 10:02:21,8.9875,417,314,210585,202216,45930.57,81.34,0.9941,0.9744,1,0,0,1,0.08,0.03,0.41,RECON,PortScan
SESS_001,10.0.4.38,172.16.0.49,57848,80,6,2026-08-28 10:01:36,11.4302,105,113,152460,45313,17302.67,19.07,0.7165,0.2874,1,1,0,0,0.86,0.2,0.62,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.12,172.16.0.21,46434,443,6,2026-08-28 10:01:38,34.6514,380,134,425220,113096,15535.19,14.83,1.4637,0.9207,1,0,0,0,0.08,0.77,0.48,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.27,172.16.0.6,54870,445,6,2026-08-28 10:01:40,14.9453,80,111,97280,71484,11292.11,12.78,0.6068,0.1639,1,0,0,0,0.19,0.66,0.85,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.39,172.16.0.21,4250,443,6,2026-08-28 10:02:33,86.1684,328,147,246656,8526,2961.43,5.51,0.5002,0.5546,0,0,1,0,0.01,0.73,0.61,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.49,172.16.0.26,27870,445,6,2026-08-28 10:04:20,66.2347,106,364,112784,373100,7335.79,7.1,1.6028,0.0451,1,1,0,0,0.08,0.73,0.5,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.1,172.16.0.50,29306,22,6,2026-08-28 10:01:46,16.0066,207,38,110124,41610,9479.46,15.31,1.7519,0.5109,0,0,1,0,0.03,0.71,0.65,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.6,172.16.0.38,13784,21,6,2026-08-28 10:03:36,75.7903,337,219,260164,313389,7567.63,7.34,0.6006,0.8227,0,1,0,0,0.03,0.95,0.63,LATERAL_MOVEMENT,SSH-Patator
SESS_001,10.0.4.12,172.16.0.25,58199,80,6,2026-08-28 10:03:40,40.2343,7173,271,10300428,258805,262443.56,185.02,1.2759,0.1888,0,0,0,0,0.13,0.24,0.76,IMPACT,DoS GoldenEye
SESS_001,192.168.1.215,172.16.0.24,15895,443,6,2026-08-28 10:03:44,107.2697,293,97,164373,17848,1698.72,3.64,1.1591,0.9497,0,0,0,0,0.16,0.11,0.67,BENIGN,BENIGN
SESS_001,10.0.4.33,172.16.0.41,2850,839,6,2026-08-28 10:01:54,81.5717,103,47,41818,54003,1174.68,1.84,0.3041,0.687,1,1,0,1,0.16,0.16,0.71,RECON,PortScan
SESS_001,10.0.4.44,172.16.0.40,15341,21,6,2026-08-28 10:02:54,21.3515,76,361,28880,435727,21759.92,20.47,1.4087,0.3295,0,1,0,0,0.78,0.15,0.77,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.41,172.16.0.7,64845,80,6,2026-08-28 10:01:58,61.7301,329,26,155288,19214,2826.85,5.75,1.8436,0.4092,0,1,0,0,0.81,0.04,0.81,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.39,172.16.0.43,14849,22,6,2026-08-28 10:01:00,31.4451,499,140,395707,91280,15486.9,20.32,1.163,0.5899,0,0,0,0,0.14,0.74,0.8,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.33,172.16.0.26,29661,21,6,2026-08-28 10:03:03,113.5956,366,39,397842,9945,3589.81,3.57,0.9152,0.8664,1,1,0,0,0.05,0.86,0.83,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.5,172.16.0.16,48854,21,6,2026-08-28 10:04:08,93.8043,474,77,382044,47586,4580.07,5.87,0.831,0.6886,1,1,0,0,0.15,0.92,0.69,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.37,172.16.0.47,8841,443,6,2026-08-28 10:02:06,29.7678,281,365,56200,446030,16871.59,21.7,1.0996,0.0022,1,0,1,0,0.08,0.75,0.84,LATERAL_MOVEMENT,SSH-Patator
SESS_001,192.168.1.185,172.16.0.38,60360,22,6,2026-08-28 10:04:16,115.6057,233,85,148188,98090,2130.33,2.75,0.6388,0.6774,0,0,1,0,0.01,0.14,0.51,BENIGN,BENIGN
SESS_001,10.0.4.3,172.16.0.40,61365,3389,6,2026-08-28 10:05:25,35.583,9121,199,5764472,108853,165059.86,261.92,1.2898,0.8936,0,0,1,0,0.03,0.23,0.56,IMPACT,DoS GoldenEye
SESS_001,192.168.1.55,172.16.0.8,24993,445,6,2026-08-28 10:04:24,88.3835,292,338,371716,99710,5333.87,7.13,0.3265,0.2135,0,1,0,0,0.05,0.11,0.83,BENIGN,BENIGN
SESS_001,192.168.1.217,172.16.0.6,44083,443,6,2026-08-28 10:03:21,1.09,1,69,1027,34569,32656.88,64.22,0.9235,0.5918,0,0,1,0,0.05,0.15,0.68,BENIGN,BENIGN
SESS_001,192.168.1.77,172.16.0.39,49319,3389,6,2026-08-28 10:03:24,31.5917,300,55,218400,70070,9131.2,11.24,1.1728,0.679,0,1,0,0,0.19,0.23,0.73,BENIGN,BENIGN
SESS_001,10.0.4.44,172.16.0.7,46093,395,6,2026-08-28 10:03:27,21.8049,344,276,142416,60996,9328.73,28.43,0.432,0.7307,1,1,0,1,0.08,0.22,0.78,RECON,PortScan
SESS_001,10.0.4.37,172.16.0.45,60843,757,6,2026-08-28 10:01:10,106.0185,69,102,38571,59976,929.53,1.61,1.8107,0.2686,1,0,0,0,0.04,0.04,0.47,RECON,PortScan
SESS_001,10.0.4.41,172.16.0.30,43647,445,6,2026-08-28 10:04:44,101.5083,100,189,18200,251181,2653.78,2.85,0.0131,0.0816,1,0,0,0,0.83,0.17,0.55,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.30,172.16.0.12,47561,3389,6,2026-08-28 10:04:48,45.9046,432,354,471312,286386,16505.93,17.12,1.522,0.7023,0,1,0,0,0.94,0.03,0.7,INITIAL_ACCESS,Web Attack - SQL Injection
SESS_001,10.0.4.13,172.16.0.30,15148,445,6,2026-08-28 10:02:26,41.8395,118,382,162014,455726,14764.52,11.95,0.9759,0.8405,1,1,0,0,0.1,0.72,0.53,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.3,172.16.0.24,15578,445,6,2026-08-28 10:01:14,111.3113,223,160,38356,227200,2385.71,3.44,1.9024,0.4825,1,1,0,0,0.07,0.7,0.8,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.10,172.16.0.32,64445,22,6,2026-08-28 10:02:30,9.006,24,243,20136,305451,36152.23,29.65,0.4991,0.0977,1,0,0,0,0.19,0.95,0.83,CREDENTIAL_ACCESS,FTP-Patator
SESS_001,10.0.4.11,172.16.0.22,55830,3389,6,2026-08-28 10:02:32,99.3173,119,50,37604,5350,432.49,1.7,0.0285,0.3655,1,1,1,0,0.09,0.7,0.62,CREDENTIAL_ACCESS,FTP-Patator
