user_id,device_id,ip,resource,login_time,logout_time,success,auth_method,sensitive_access
USER_117,DEV_WORKSTATION_3,192.168.1.40,/api/v1/auth,2026-08-28 08:00:00,2026-08-28 08:35:00,1,SSH-Key,0
USER_106,DEV_WORKSTATION_18,10.0.4.99,/public/index.html,2026-08-28 08:09:00,2026-08-28 08:57:00,1,Kerberos,0
USER_120,DEV_WORKSTATION_11,192.168.1.32,/api/v1/auth,2026-08-28 08:10:00,2026-08-28 10:26:00,1,Password,0
USER_108,DEV_WORKSTATION_15,192.168.1.46,/finance/records,2026-08-28 08:30:00,2026-08-28 09:26:00,1,Kerberos,1
USER_120,DEV_WORKSTATION_19,192.168.1.23,/finance/records,2026-08-28 08:16:00,2026-08-28 12:15:00,1,MFA,1
USER_117,DEV_WORKSTATION_19,192.168.1.36,/sys/config,2026-08-28 08:40:00,2026-08-28 10:50:00,1,Kerberos,0
USER_101,DEV_WORKSTATION_13,192.168.1.16,/sys/config,2026-08-28 08:18:00,2026-08-28 11:29:00,1,MFA,0
USER_107,DEV_WORKSTATION_13,192.168.1.21,/public/index.html,2026-08-28 08:56:00,2026-08-28 10:22:00,1,MFA,0
USER_107,SRV_DB_4,192.168.1.46,/sys/config,2026-08-28 09:04:00,2026-08-28 10:11:00,0,Password,0
USER_106,DEV_WORKSTATION_14,192.168.1.29,/finance/records,2026-08-28 08:09:00,2026-08-28 11:03:00,1,Kerberos,1
USER_122,DEV_WORKSTATION_4,192.168.1.44,/admin/db_backup,2026-08-28 08:30:00,2026-08-28 08:50:00,0,SSH-Key,1
USER_114,DEV_WORKSTATION_15,192.168.1.53,/public/index.html,2026-08-28 09:50:00,2026-08-28 11:22:00,1,Kerberos,0
USER_114,DEV_WORKSTATION_4,192.168.1.53,/api/v1/auth,2026-08-28 08:12:00,2026-08-28 10:44:00,1,SSH-Key,0
USER_101,DEV_WORKSTATION_1,192.168.1.37,/finance/records,2026-08-28 09:44:00,2026-08-28 11:22:00,1,MFA,1
USER_113,DEV_WORKSTATION_1,192.168.1.27,/sys/config,2026-08-28 09:10:00,2026-08-28 12:27:00,1,SSH-Key,0
USER_112,DEV_WORKSTATION_11,192.168.1.20,/public/index.html,2026-08-28 09:15:00,2026-08-28 11:22:00,1,SSH-Key,0
USER_107,DEV_WORKSTATION_16,192.168.1.55,/finance/records,2026-08-28 10:24:00,2026-08-28 13:10:00,1,Kerberos,1
USER_106,DEV_WORKSTATION_11,192.168.1.34,/api/v1/auth,2026-08-28 08:51:00,2026-08-28 11:24:00,1,Password,0
USER_105,DEV_WORKSTATION_3,192.168.1.17,/finance/records,2026-08-28 08:36:00,2026-08-28 10:17:00,1,SSH-Key,1
USER_101,DEV_WORKSTATION_7,192.168.1.26,/public/index.html,2026-08-28 08:19:00,2026-08-28 09:02:00,1,MFA,0
USER_124,SRV_DB_4,192.168.1.50,/api/v1/auth,2026-08-28 11:00:00,2026-08-28 14:54:00,1,MFA,0
USER_113,DEV_WORKSTATION_1,192.168.1.39,/admin/db_backup,2026-08-28 08:42:00,2026-08-28 10:54:00,0,Password,1
USER_108,DEV_WORKSTATION_12,192.168.1.18,/sys/config,2026-08-28 09:50:00,2026-08-28 10:34:00,1,Kerberos,0
USER_108,DEV_WORKSTATION_13,192.168.1.36,/sys/config,2026-08-28 08:23:00,2026-08-28 11:44:00,1,Kerberos,0
USER_117,SRV_DB_4,192.168.1.26,/api/v1/auth,2026-08-28 08:24:00,2026-08-28 10:28:00,0,Password,0
USER_112,DEV_WORKSTATION_3,192.168.1.35,/public/index.html,2026-08-28 08:25:00,2026-08-28 10:09:00,1,MFA,0
USER_117,SRV_DB_2,192.168.1.22,/admin/db_backup,2026-08-28 09:18:00,2026-08-28 11:05:00,1,SSH-Key,1
USER_101,DEV_WORKSTATION_4,192.168.1.52,/finance/records,2026-08-28 08:54:00,2026-08-28 10:43:00,1,SSH-Key,1
USER_120,DEV_WORKSTATION_14,192.168.1.44,/public/index.html,2026-08-28 08:56:00,2026-08-28 12:19:00,1,MFA,0
USER_124,DEV_WORKSTATION_9,192.168.1.59,/public/index.html,2026-08-28 11:23:00,2026-08-28 12:25:00,1,Password,0
USER_122,DEV_WORKSTATION_2,192.168.1.57,/api/v1/auth,2026-08-28 09:00:00,2026-08-28 11:01:00,1,SSH-Key,0
USER_119,SRV_DB_2,192.168.1.57,/public/index.html,2026-08-28 12:39:00,2026-08-28 15:13:00,0,MFA,0
USER_109,DEV_WORKSTATION_6,192.168.1.38,/admin/db_backup,2026-08-28 10:08:00,2026-08-28 12:59:00,1,Kerberos,1
USER_118,DEV_WORKSTATION_17,192.168.1.15,/admin/db_backup,2026-08-28 09:39:00,2026-08-28 12:24:00,1,Password,1
USER_115,DEV_WORKSTATION_5,192.168.1.29,/public/index.html,2026-08-28 11:58:00,2026-08-28 12:53:00,1,MFA,0
USER_124,DEV_WORKSTATION_6,192.168.1.27,/sys/config,2026-08-28 11:30:00,2026-08-28 14:53:00,0,MFA,0
USER_117,SRV_DB_2,192.168.1.47,/sys/config,2026-08-28 09:48:00,2026-08-28 11:23:00,1,SSH-Key,0
USER_103,DEV_WORKSTATION_12,192.168.1.11,/public/index.html,2026-08-28 12:19:00,2026-08-28 15:13:00,1,Password,0
USER_104,DEV_WORKSTATION_15,192.168.1.14,/admin/db_backup,2026-08-28 13:42:00,2026-08-28 15:48:00,1,SSH-Key,1
USER_117,DEV_WORKSTATION_4,192.168.1.53,/sys/config,2026-08-28 11:54:00,2026-08-28 13:25:00,1,MFA,0
USER_113,DEV_WORKSTATION_11,192.168.1.11,/api/v1/auth,2026-08-28 12:00:00,2026-08-28 12:36:00,0,Password,0
USER_105,DEV_WORKSTATION_19,192.168.1.18,/public/index.html,2026-08-28 12:47:00,2026-08-28 16:18:00,1,SSH-Key,0
USER_103,DEV_WORKSTATION_9,192.168.1.23,/admin/db_backup,2026-08-28 12:12:00,2026-08-28 13:00:00,1,MFA,1
USER_117,SRV_DB_3,192.168.1.23,/public/index.html,2026-08-28 10:52:00,2026-08-28 12:49:00,1,SSH-Key,0
USER_106,SRV_DB_4,192.168.1.46,/public/index.html,2026-08-28 10:12:00,2026-08-28 12:31:00,1,Kerberos,0
USER_112,DEV_WORKSTATION_2,192.168.1.21,/public/index.html,2026-08-28 09:30:00,2026-08-28 11:51:00,1,Password,0
USER_124,SRV_DB_3,192.168.1.26,/public/index.html,2026-08-28 11:50:00,2026-08-28 12:55:00,0,Kerberos,0
USER_116,DEV_WORKSTATION_19,192.168.1.21,/sys/config,2026-08-28 15:03:00,2026-08-28 16:08:00,1,MFA,0
USER_111,DEV_WORKSTATION_4,192.168.1.57,/finance/records,2026-08-28 12:00:00,2026-08-28 15:31:00,1,Kerberos,1
USER_102,DEV_WORKSTATION_11,192.168.1.12,/public/index.html,2026-08-28 12:54:00,2026-08-28 14:23:00,1,Kerberos,0
USER_106,DEV_WORKSTATION_11,192.168.1.39,/sys/config,2026-08-28 08:50:00,2026-08-28 12:12:00,1,MFA,0
USER_106,DEV_WORKSTATION_11,192.168.1.48,/admin/db_backup,2026-08-28 10:33:00,2026-08-28 12:44:00,0,Kerberos,1
USER_115,DEV_WORKSTATION_2,10.0.4.15,/admin/db_backup,2026-08-28 13:12:00,2026-08-28 15:58:00,1,Password,1
USER_101,DEV_WORKSTATION_9,192.168.1.52,/sys/config,2026-08-28 16:50:00,2026-08-28 20:30:00,1,MFA,0
USER_124,DEV_WORKSTATION_14,192.168.1.36,/sys/config,2026-08-28 14:18:00,2026-08-28 14:46:00,0,MFA,0
USER_119,DEV_WORKSTATION_7,192.168.1.53,/finance/records,2026-08-28 09:50:00,2026-08-28 10:43:00,0,MFA,1
